id;isbn;page;dimension;weight;publisher;country
"1";"9786230023729";"208";"11 x 17 cm";"200";"Elex Media Komputindo";"Indonesia"
"2";"9786020637587";"130";"14 x 21 cm";"300";"Gramedia Pustaka Utama";"Indonesia"
"3";"9786020639543";"375";"14 x 21 cm";"400";"Gramedia Pustaka Utama";"Indonesia"
"4";"9786022203278";"208";"14 x 21 cm";"200";"Bukune";"Indonesia"
"5";"9789797945862";"312";"14 x 21 cm";"300";"Media Kita";"Indonesia"
"6";"9789792274646";"242";"16 x 23 cm";"500";"Gramedia Pustaka Utama";"Indonesia"
"7";"9786020383637";"336";"22 x 27 cm";"800";"Gramedia Pustaka Utama";"Indonesia"
"8";"9786027870413";"343";"14 x 21 cm";"400";"Pastel Books!";"Indonesia"
"9";"9786239554507";"404";"13 x 18 cm";"400";"Sabak Grip Nusantara";"Indonesia"
"10";"9789799731234";"538";"14 x 21 cm";"400";"Lentera Dipantara";"Indonesia"
"11";"9786024248215";"200";"13 x 18 cm";"200";"Kepustakaan Populer Gramedia";"Indonesia"
"12";"9786022915249";"262";"14 x 21 cm";"300";"Bentang Pustaka";"Indonesia"
"13";"9789792201963";"412";"14 x 21 cm";"300";"Gramedia Pustaka Utama";"Indonesia"
"14";"9786020332444";"134";"14 x 21 cm";"300";"Gramedia Pustaka Utama";"Indonesia"
"15";"9789792248616";"224";"14 x 21 cm";"200";"Gramedia Pustaka Utama";"Indonesia"
